,문서 번호,제목,질문,위치 고유번호,위치,조회수,질문 날짜
65,475997411,"질문서초역,교대역,방배역 근처 피부옴진단 피부과","서초역, 교대역, 방배역 근처에 진드기 및 피부 옴 을 진단해주는 피부과 혹시 없을까요? 대충 대충 봐주는곳말고 면밀하게 진찰해주는 피부과 추천 해주세요",011510,서울특별시 강남구 역삼동 , 28,작성일2024.10.01
66,476032174,질문신정역 1 번 출구쪽 재개발?,신정역 1벌 출구쪽 재개발 얘기가 나오던데 재개발 확정인건가요? 확정이면 보통 언제 퇴거 시작하는지 궁긍하네요,011510,서울특별시 강남구 역삼동 , 19,2024.09.30
67,476025337,질문서울 강남 선릉역에 가야하는데,지인아들 결혼식을 서울에 가야 하는데 선릉역으로 가는데 대중교통을 이용하는데 뭐가 좋은가 해서요 전철이든 버스든 관계없습니다 난 춘천역경춘선) -별내역(8호석)-잠실(2호선)-선릉역을 보았는데 누나친구가 거기는 고생한다고 하니 차라리 버스가 편하다고 하니 그리고 서울가서 환승하려고 하니 더 복잡할것 같고 그래서요 고민입니다 좋은 답변 부탁드립니다,011510,서울특별시 강남구 역삼동 , 21,2024.09.30
68,475848091,질문강남역주변 점심식사 모임장소추천요,강남역주변 쟈철역에서 도보5분-10분이내면좋겟어요 칭구들점심 먹으려하는데요 브런치카폐나 파스타맛집 이쁘고 깔금한장소 찿습니다 강남역 자주는안가지만 세세히  길을 잘사실 몰라서요 추천부탁드려요 점심먹고 이쁜카폐가서 커피한잔할거구요 이역시 sns 핫한 사진잘나오는 카폐알려주세요 강남역에서 반포 새빛둥둥섬 어떻게 가야할까요 강남역주변 즐길거리 있는지도 알고싶습니다,011510,서울특별시 강남구 역삼동 , 20,2024.09.26
69,475847158,질문강남역 근처 수육전골 어디가 맛있나요?,강남역 수육전골 맛집 추천해주세요. 친구들과 강남역에서 만나기로 했는데 최근 날씨가 선선해져서 수육전골을 먹기로 했습니다. 강남역에 수육전골 맛집이 있을까요? 분위기도 좋고 맛도 좋은 곳으로 추천해주세요.,011510,서울특별시 강남구 역삼동 , 22,2024.09.26
70,476683768,질문역삼역의 특징,은 무엇인가요,011510,서울특별시 강남구 역삼동 , 22,2024.10.17
71,476654087,질문역삼 한의원 본디 점심시간 있나요?,최근 잦은 야근으로 어깨 통증이 있어 한의원에 침을 맞으러 가려고 합니다. 12시쯤에 방문할 예정인데 역삼 한의원 본디 점심시간 있나요? 있다면 몇 시부터 몇 시까지인지 알려주세요.,011510,서울특별시 강남구 역삼동 , 10,2024.10.15
72,476609135,질문강남 묻지마 살인사건,8년전에 신논현역 주변 오래된 상가외부 남녀공용화장실에서 묻지마 살인사건이 일어났었잖아요? 혹시 8년이 지난 현재에도 신논현역 근처 오래된 상가외부에 남녀공용화장실이 많이 남아있나요?,011510,서울특별시 강남구 역삼동 , 18,2024.10.14
73,476604003,질문서울 파스타 맛집 치스타리에 강남역점 주차장 있나요?,"서울 파스타 맛집 치스타리에 강남역점에서 식사를 할 예정인데 여기는 주차를 어디에 하나요? 전용 주차장이 있는지, 주차권을 주시는지, 주차요금은 얼마인지 등 주차 정보 좀 알려주세요.",011510,서울특별시 강남구 역삼동 , 11,2024.10.14
74,476603957,질문강남 한정식 역삼역 다온정 주차 어디에 하나요?,"강남에 있는 한정식집 역삼역 다온정에서 식사를 할 예정인데 여기는 주차를 어디에 하나요? 전용 주차장이 있는지, 주차권을 주시는지, 주차요금은 얼마인지 등 주차 정보 좀 알려주세요.",011510,서울특별시 강남구 역삼동 , 10,2024.10.14
